2023:12:06 12:06:05 ===> File Opened Successfully

2023:12:06 12:06:05 ===> Calling AEDController Constructor
2023:12:06 12:06:05 ===> Main Function
2023:12:06 12:06:18 ===> AED Powering On
2023:12:06 12:06:26 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:27 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:27 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:27 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:27 ===> Attempting To Place Pads
2023:12:06 12:06:27 ===> Placing Adult Pads
2023:12:06 12:06:27 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:27 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:28 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:28 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:28 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:28 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:29 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:29 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:29 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:29 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:29 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:30 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:30 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:30 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:30 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:30 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:31 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:31 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:31 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:31 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:31 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:32 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:32 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:32 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:32 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:32 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:33 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:33 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:33 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:33 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:33 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:34 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:34 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:34 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:34 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:34 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:35 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:35 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:35 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:35 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:35 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:36 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:36 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:36 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:36 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:36 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:37 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:37 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:37 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:37 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:37 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:38 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:38 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:38 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:38 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:38 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:39 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:39 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:39 ===> SHOCKING SAME WITH SAME PADS FROM POSSIBLE RANGE 0 -62
2023:12:06 12:06:39 ===> Shocking At Amps: 54
2023:12:06 12:06:45 ===> Shocking!
2023:12:06 12:06:46 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:46 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:46 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:46 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:46 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:47 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:47 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:47 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:47 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:47 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:48 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:48 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:48 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:48 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:48 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:49 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:49 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:49 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:49 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:49 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:50 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:50 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:50 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:50 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:50 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:51 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:51 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:51 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:51 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:51 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:52 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:52 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:52 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:52 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:52 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:53 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:53 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:53 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:53 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:53 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:54 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:54 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:54 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:54 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:54 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:55 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:55 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:55 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:55 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:56 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:56 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:56 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:56 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:56 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:57 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:57 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:57 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:57 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:57 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:58 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:58 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:58 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:58 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:58 ===> AEDWindow Close Event
2023:12:06 12:06:58 ===> Semaphore Acquired As Thread : 140635685320640
2023:12:06 12:06:58 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:58 ===> AEDWindow Destructor Called
2023:12:06 12:06:58 ===> Calling AEDController PowerOff
2023:12:06 12:06:58 ===> Cleanup Within AEDController As Thread: 140635685320640
2023:12:06 12:06:59 ===> AEDController Looping As 140635214444096
2023:12:06 12:06:59 ===> Semaphore Released As Thread: 140635214444096
2023:12:06 12:06:59 ===> Run() Loop Ended
2023:12:06 12:06:59 ===> AEDController Destructor Called As Thread: 140635685320640
