2023:12:06 12:06:38 ===> File Opened Successfully

2023:12:06 12:06:38 ===> Calling AEDController Constructor
2023:12:06 12:06:38 ===> Main Function
2023:12:06 12:06:45 ===> AED Powering On
2023:12:06 12:06:01 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:01 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:02 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:02 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:02 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:02 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:02 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:03 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:03 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:03 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:03 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:03 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:04 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:04 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:04 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:04 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:04 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:05 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:05 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:05 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:05 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:05 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:06 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:06 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:06 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:06 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:06 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:07 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:07 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:07 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:07 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:07 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:08 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:08 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:08 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:08 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:08 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:09 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:09 ===> SHOCKING SAME WITH SAME PADS FROM POSSIBLE RANGE 0 -53
2023:12:06 12:06:09 ===> Shocking At Amps: 11
2023:12:06 12:06:17 ===> Shocking!
2023:12:06 12:06:17 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:17 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:17 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:18 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:18 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:18 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:18 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:18 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:19 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:19 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:19 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:19 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:19 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:20 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:20 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:20 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:20 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:20 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:21 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:21 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:21 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:21 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:21 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:22 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:22 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:22 ===> AEDWindow Close Event
2023:12:06 12:06:22 ===> Semaphore Acquired As Thread : 139811833636800
2023:12:06 12:06:22 ===> AEDWindow Destructor Called
2023:12:06 12:06:22 ===> Calling AEDController PowerOff
2023:12:06 12:06:22 ===> Cleanup Within AEDController As Thread: 139811833636800
2023:12:06 12:06:22 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:22 ===> Semaphore Released As Thread: 139811666822720
2023:12:06 12:06:22 ===> Run() Loop Ended
2023:12:06 12:06:22 ===> AEDController Destructor Called As Thread: 139811833636800
