2023:12:06 11:06:10 ===> File Opened Successfully

2023:12:06 11:06:10 ===> Calling AEDController Constructor
2023:12:06 11:06:10 ===> Main Function
2023:12:06 11:06:17 ===> AED Powering On
2023:12:06 11:06:23 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:26 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:26 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:26 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:26 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:26 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:27 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:27 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:27 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:27 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:27 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:28 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:28 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:28 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:28 ===> Attempting To Place Pads
2023:12:06 11:06:28 ===> Pad Placement Failed: Applied Incorrectly
2023:12:06 11:06:28 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:28 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:29 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:29 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:29 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:29 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:29 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:30 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:30 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:30 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:30 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:30 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:31 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:31 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:31 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:31 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:32 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:32 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:32 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:32 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:32 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> Attempting To Place Pads
2023:12:06 11:06:38 ===> Placing Adult Pads
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:42 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:42 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:42 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:42 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:43 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:43 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:43 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:43 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:43 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:44 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:44 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:44 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:44 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:44 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:45 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:45 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:45 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:45 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:45 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:46 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:46 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:46 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:46 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:46 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:46 ===> SHOCKING SAME WITH SAME PADS FROM POSSIBLE RANGE 0 -58
2023:12:06 11:06:46 ===> Shocking At Amps: 36
2023:12:06 11:06:53 ===> Shocking!
2023:12:06 11:06:54 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:54 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:54 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:54 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:54 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:55 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:55 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:55 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:55 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:55 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:56 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:56 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:56 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:56 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:56 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:57 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:57 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:57 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:57 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:57 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:58 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:58 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:58 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:58 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:58 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:59 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:59 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:59 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:59 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:59 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:00 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:00 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:00 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:00 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:00 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:01 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:01 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:01 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:01 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:01 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:02 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:02 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:02 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:02 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:02 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:03 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:03 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:03 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:03 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:03 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:04 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:04 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:04 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:04 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:04 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:05 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:05 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:05 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:05 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:05 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:06 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:06 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:06 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:06 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:06 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:07 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:07 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:07 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:07 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:07 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:08 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:08 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:08 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:08 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:08 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:09 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:09 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:09 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:09 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:09 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:10 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:10 ===> SHOCKING SAME WITH SAME PADS FROM POSSIBLE RANGE 0 -58
2023:12:06 11:06:10 ===> Shocking At Amps: 58
2023:12:06 11:06:16 ===> Shocking!
2023:12:06 11:06:17 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:17 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:17 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:17 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:18 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:18 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:18 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:18 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:18 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:19 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:19 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:19 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:19 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:19 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:20 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:20 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:20 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:20 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:20 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:21 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:21 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:21 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:21 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:21 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:22 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:22 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:22 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:22 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:22 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:23 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:23 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:23 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:23 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:23 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:24 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:25 ===> SHOCKING SAME WITH SAME PADS FROM POSSIBLE RANGE 0 -40
2023:12:06 11:06:25 ===> Shocking At Amps: 1
2023:12:06 11:06:32 ===> Shocking!
2023:12:06 11:06:32 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:33 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:34 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:35 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:36 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:37 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:38 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:39 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:40 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:41 ===> SHOCKING SAME WITH SAME PADS FROM POSSIBLE RANGE 0 -50
2023:12:06 11:06:41 ===> Shocking At Amps: 10
2023:12:06 11:06:48 ===> Shocking!
2023:12:06 11:06:48 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:49 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:49 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:49 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:49 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:49 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:50 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:50 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:50 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:50 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:50 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:51 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:51 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:51 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:51 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:51 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:52 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:52 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:52 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:52 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:52 ===> AEDWindow Close Event
2023:12:06 11:06:52 ===> Semaphore Acquired As Thread : 139925111101376
2023:12:06 11:06:52 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:52 ===> AEDWindow Destructor Called
2023:12:06 11:06:52 ===> Calling AEDController PowerOff
2023:12:06 11:06:52 ===> Cleanup Within AEDController As Thread: 139925111101376
2023:12:06 11:06:53 ===> AEDController Looping As 139924943558208
2023:12:06 11:06:53 ===> Semaphore Released As Thread: 139924943558208
2023:12:06 11:06:53 ===> Run() Loop Ended
2023:12:06 11:06:53 ===> AEDController Destructor Called As Thread: 139925111101376
